record_id,timestamp,date,day_of_week,hour_of_day,month,location,vehicle_type,weather,event_type,total_slots,occupied_slots,available_slots,occupancy_rate,traffic_level,price_per_hour_inr,demand_level
1,2025-01-01 00:00:00,2025-01-01,2,0,1,Velachery,Car,Clear,Festival,30,21,9,0.7,Medium,34.04,Medium
2,2025-01-01 03:00:00,2025-01-01,2,3,1,Velachery,SUV,Clear,Festival,100,64,36,0.64,Medium,33.08,Medium
3,2025-01-01 06:00:00,2025-01-01,2,6,1,Guindy,SUV,Clear,None,30,12,18,0.4,Low,28.59,Low
4,2025-01-01 09:00:00,2025-01-01,2,9,1,Koyambedu,SUV,Cloudy,None,30,23,7,0.767,Medium,40.24,Medium
5,2025-01-01 12:00:00,2025-01-01,2,12,1,OMR-Perungudi,Car,Clear,None,60,20,40,0.333,Low,29.86,Low
6,2025-01-01 15:00:00,2025-01-01,2,15,1,Anna Nagar,Car,Clear,None,100,33,67,0.33,Low,28.56,Low
7,2025-01-01 18:00:00,2025-01-01,2,18,1,Tambaram,Bike,Clear,None,30,22,8,0.733,Medium,33.07,Medium
8,2025-01-01 21:00:00,2025-01-01,2,21,1,Koyambedu,SUV,Cloudy,Weekend,50,28,22,0.56,Medium,36.13,Medium
9,2025-01-02 00:00:00,2025-01-02,3,0,1,Velachery,SUV,Clear,None,60,19,41,0.317,Low,26.91,Low
10,2025-01-02 03:00:00,2025-01-02,3,3,1,Koyambedu,Car,Cloudy,None,50,21,29,0.42,Low,33.15,Low
11,2025-01-02 06:00:00,2025-01-02,3,6,1,Adyar,Car,Rain,Sale,50,30,20,0.6,Medium,35.27,Medium
12,2025-01-02 09:00:00,2025-01-02,3,9,1,Guindy,Car,Cloudy,None,50,30,20,0.6,Medium,32.2,Medium
13,2025-01-02 12:00:00,2025-01-02,3,12,1,Tambaram,SUV,Clear,None,50,18,32,0.36,Low,26.65,Low
14,2025-01-02 15:00:00,2025-01-02,3,15,1,Velachery,Car,Clear,None,80,16,64,0.2,Low,24.72,Low
15,2025-01-02 18:00:00,2025-01-02,3,18,1,Anna Nagar,SUV,Rain,None,60,33,27,0.55,Low,32.73,Low
16,2025-01-02 21:00:00,2025-01-02,3,21,1,OMR-Perungudi,Car,Cloudy,None,40,13,27,0.325,Low,29.93,Low
17,2025-01-03 00:00:00,2025-01-03,4,0,1,Adyar,Car,Clear,Weekend,30,12,18,0.4,Low,31.05,Low
18,2025-01-03 03:00:00,2025-01-03,4,3,1,Adyar,SUV,Clear,Weekend,80,40,40,0.5,Low,33.25,Low
19,2025-01-03 06:00:00,2025-01-03,4,6,1,Mylapore,Car,Cloudy,Weekend,60,26,34,0.433,Low,30.46,Low
20,2025-01-03 09:00:00,2025-01-03,4,9,1,Porur,Bike,Clear,None,40,19,21,0.475,Low,34.52,Low
21,2025-01-03 12:00:00,2025-01-03,4,12,1,Koyambedu,Car,Clear,Weekend,60,35,25,0.583,Medium,36.68,Medium
22,2025-01-03 15:00:00,2025-01-03,4,15,1,Anna Nagar,Car,Cloudy,None,80,29,51,0.362,Low,29.17,Low
23,2025-01-03 18:00:00,2025-01-03,4,18,1,Anna Nagar,SUV,Cloudy,None,100,64,36,0.64,Medium,34.58,Medium
24,2025-01-03 21:00:00,2025-01-03,4,21,1,Velachery,SUV,Rain,None,60,19,41,0.317,Low,26.97,Low
25,2025-01-04 00:00:00,2025-01-04,5,0,1,Porur,SUV,Clear,Weekend,80,49,31,0.613,Medium,37.1,Medium
26,2025-01-04 03:00:00,2025-01-04,5,3,1,Velachery,SUV,Cloudy,Weekend,100,69,31,0.69,Medium,34.02,Medium
27,2025-01-04 06:00:00,2025-01-04,5,6,1,Tambaram,Car,Clear,None,30,13,17,0.433,Low,27.88,Low
28,2025-01-04 09:00:00,2025-01-04,5,9,1,Porur,Car,Clear,Festival,80,78,2,0.975,High,45.17,High
29,2025-01-04 12:00:00,2025-01-04,5,12,1,Porur,Bike,Clear,None,100,48,52,0.48,Low,34.41,Low
30,2025-01-04 15:00:00,2025-01-04,5,15,1,Anna Nagar,Car,Rain,Sale,80,63,17,0.787,Medium,37.58,Medium
31,2025-01-04 18:00:00,2025-01-04,5,18,1,Koyambedu,Bike,Clear,None,50,37,13,0.74,Medium,39.81,Medium
32,2025-01-04 21:00:00,2025-01-04,5,21,1,Porur,Car,Rain,None,40,30,10,0.75,Medium,40.38,Medium
33,2025-01-05 00:00:00,2025-01-05,6,0,1,Velachery,SUV,Clear,None,100,53,47,0.53,Low,31.0,Low
34,2025-01-05 03:00:00,2025-01-05,6,3,1,Anna Nagar,Car,Rain,None,40,21,19,0.525,Low,32.4,Low
35,2025-01-05 06:00:00,2025-01-05,6,6,1,Porur,Car,Clear,Weekend,80,57,23,0.713,Medium,39.46,Medium
36,2025-01-05 09:00:00,2025-01-05,6,9,1,OMR-Perungudi,Bike,Cloudy,None,100,71,29,0.71,Medium,37.75,Medium
37,2025-01-05 12:00:00,2025-01-05,6,12,1,Tambaram,Car,Clear,Weekend,60,40,20,0.667,Medium,32.0,Medium
38,2025-01-05 15:00:00,2025-01-05,6,15,1,Adyar,Car,Clear,None,30,11,19,0.367,Low,30.73,Low
39,2025-01-05 18:00:00,2025-01-05,6,18,1,Koyambedu,Car,Cloudy,None,40,28,12,0.7,Medium,39.2,Medium
40,2025-01-05 21:00:00,2025-01-05,6,21,1,Adyar,Car,Rain,Weekend,30,22,8,0.733,Medium,38.44,Medium
41,2025-01-06 00:00:00,2025-01-06,0,0,1,OMR-Perungudi,SUV,Clear,None,40,16,24,0.4,Low,31.47,Low
42,2025-01-06 03:00:00,2025-01-06,0,3,1,Anna Nagar,Bike,Clear,Weekend,100,48,52,0.48,Low,31.58,Low
43,2025-01-06 06:00:00,2025-01-06,0,6,1,Adyar,Car,Clear,Weekend,60,28,32,0.467,Low,32.54,Low
44,2025-01-06 09:00:00,2025-01-06,0,9,1,Guindy,SUV,Clear,None,50,29,21,0.58,Medium,31.88,Medium
45,2025-01-06 12:00:00,2025-01-06,0,12,1,T Nagar,Car,Cloudy,None,100,26,74,0.26,Low,24.71,Low
46,2025-01-06 15:00:00,2025-01-06,0,15,1,Guindy,Car,Rain,None,100,37,63,0.37,Low,28.04,Low
